devicename,fqdn,interfacename,interfacetype,mtu,ipaddress,vrf,is_primary
EOS1,eos1.greer.net,Management1,1000base-t,1500,10.255.255.31/24,MGMT,True
EOS2,eos2.greer.net,Management1,1000base-t,1500,10.255.255.32/24,MGMT,True
EOS3,eos3.greer.net,Management1,1000base-t,1500,10.255.255.33/24,MGMT,True
EOS4,eos4.greer.net,Management1,1000base-t,1500,10.255.255.34/24,MGMT,True
EOS5,eos5.greer.net,Management1,1000base-t,1500,10.255.255.35/24,MGMT,True
EOS1,,Ethernet1,10gbase-x-sfpp,9214,10.102.201.201/24,default,
EOS1,,Ethernet2,10gbase-x-sfpp,9214,10.103.201.201/24,default,
EOS1,,Ethernet3,10gbase-x-sfpp,9214,10.104.201.201/24,default,
EOS5,,Ethernet1,10gbase-x-sfpp,9214,10.102.202.202/24,default,
EOS5,,Ethernet2,10gbase-x-sfpp,9214,10.103.202.202/24,default,
EOS5,,Ethernet3,10gbase-x-sfpp,9214,10.104.202.202/24,default,
EOS2,,Ethernet1,10gbase-x-sfpp,9214,10.102.201.102/24,default,
EOS2,,Ethernet2,10gbase-x-sfpp,9214,10.102.202.102/24,default,
EOS3,,Ethernet1,10gbase-x-sfpp,9214,10.103.201.102/24,default,
EOS3,,Ethernet2,10gbase-x-sfpp,9214,10.103.202.102/24,default,
EOS4,,Ethernet1,10gbase-x-sfpp,9214,10.104.201.102/24,default,
EOS4,,Ethernet2,10gbase-x-sfpp,9214,10.104.202.102/24,default,
